creator,video_order,publish_date,title,content_type,views,days_since_upload,views_per_day,creator_median_vpd,ratio,state,action_group,is_high,next_state,next_is_high
Joeman,20,2026-04-10,未來的蘋果摺疊機可能就長這樣！摺痕消失術！能自我修復的折疊手機！OPPO Find N6開箱實測【Joeman】,科技,290953,71,4097.929577464789,6336.066312997347,0.6467624193040078,Low,Review/Tech,0,Normal,0.0
Joeman,21,2026-04-14,一戶1.7億！東門商圈、永康街旁的低調豪宅！耕玉《Joe是要看房》 ep.60【Joeman】,房子,671019,67,10015.208955223881,6336.066312997347,1.5806666882067517,Normal,Lifestyle/Other,0,Low,0.0
Joeman,22,2026-04-15,陽痿、早洩、不夠大、不夠硬怎麼辦？人生第一次看泌尿科！ft.顧芳瑜醫師【Joeman】,健康,264565,66,4008.560606060606,6336.066312997347,0.6326576156309689,Low,Lifestyle/Other,0,Low,0.0
Joeman,23,2026-04-16,手機影像之王！演唱會神機vivo X300 Ultra！【Joeman】,科技,202562,65,3116.3384615384616,6336.066312997347,0.49184120045363644,Low,Review/Tech,0,Normal,0.0
Joeman,24,2026-04-29,iPhone如何稱霸世界？iPhone 20年來的改變與危機《蘋果之道》【九讀】ep3【Joeman】,科技,346456,52,6662.615384615385,6336.066312997347,1.051538139831046,Normal,Review/Tech,0,Normal,0.0
Joeman,25,2026-05-05,一張票十幾萬！人生第一次看F1！日本鈴鹿賽道VIP包廂體驗，近距離看世界冠軍車手【Joeman】,旅遊,382597,46,8317.326086956522,6336.066312997347,1.3126955552682524,Normal,Travel/Experience,0,Hit,1.0
Joeman,26,2026-05-06,一台12萬！偷把員工的螢幕換成蘋果最高階的顯示器！會被發現嗎？Studio Display XDR 開箱實測【Joeman】,科技,614423,45,13653.844444444445,6336.066312997347,2.154940268922997,Hit,Review/Tech,1,Hit,1.0
Joeman,27,2026-05-08,iPhone 18 Pro與iPhone摺疊機外流爆料！這代值得等嗎？【Joeman】,科技,598588,43,13920.651162790698,6336.066312997347,2.1970494744088906,Hit,Review/Tech,1,Viral,1.0
Joeman,28,2026-05-12,一戶12億！陶朱隱園開箱！《Joe是要看房》 ep.61【Joeman】,房子,3119010,39,79974.61538461539,6336.066312997347,12.622124112015882,Viral,Lifestyle/Other,1,Hit,1.0
Joeman,29,2026-05-14,超崩潰！現在組電腦也太貴了吧！從台幣3萬一路組到20萬的菜單分享【Joeman】,科技,518408,37,14011.027027027027,6336.066312997347,2.211313192585409,Hit,Review/Tech,1,Normal,0.0
Joeman,30,2026-05-15,人生第一次吃螺絲粉⋯約會不能吃的食物挑戰！【Joeman】,美食,450511,36,12514.194444444445,6336.066312997347,1.9750731488989839,Normal,Lifestyle/Other,0,Normal,0.0
Joeman,31,2026-05-16,10倍原生長焦好猛！OPPO超旗艦手機Find X9 Ultra開箱實測【Joeman】,科技,239313,35,6837.5142857142855,6336.066312997347,1.079141844157834,Normal,Review/Tech,0,Hit,1.0
Joeman,32,2026-05-21,最便宜的豪華電動車！為了賓士退訂特斯拉值得嗎？CLA200開箱試駕【Joeman】,車子,419674,30,13989.133333333333,6336.066312997347,2.207857784669494,Hit,Lifestyle/Other,1,Normal,0.0
Joeman,33,2026-05-22,信義區老屋翻新不到50萬？包租代管好賺嗎？《Joe是要看房》 ep.62【Joeman】,房子,174276,29,6009.517241379311,6336.066312997347,0.9484618601689542,Normal,Lifestyle/Other,0,Viral,1.0
Joeman,34,2026-05-26,台北跟團一日遊！跟著外國人當觀光客！體驗最熟悉的陌生景點...每天經過卻從沒進去過！《Joe是要跟團》ep1【Joeman】,旅遊,1096337,25,43853.48,6336.066312997347,6.921247006213012,Viral,Travel/Experience,1,Viral,1.0
Joeman,35,2026-05-29,在公車上隨機搭訕！讓乘客推薦美食！挑戰307從頭吃到尾！《公車食刻表》ep1【Joeman】,旅遊,1221435,22,55519.77272727273,6336.066312997347,8.76249868366805,Viral,Travel/Experience,1,Hit,1.0
Joeman,36,2026-06-01,帶很省錢的人體驗有錢人的一天！一日富豪體驗（我想像中的）【Joeman】,雜談,517595,19,27241.842105263157,6336.066312997347,4.299488161823877,Hit,Talk/Topic,1,Viral,1.0
Joeman,37,2026-06-06,台股史詩大暴跌！給大家看之前多開心！一個月賺50%、股票漲太多都不想工作！【Joeman會員優先】,股市,870738,14,62195.57142857143,6336.066312997347,9.816117501956686,Viral,Lifestyle/Other,1,Viral,1.0
Joeman,38,2026-06-09,iOS 27來了！這次的AI超好用！【Joeman】,科技,485297,11,44117.90909090909,6336.066312997347,6.962980958770713,Viral,Review/Tech,1,Viral,1.0
Joeman,39,2026-06-11,打死都不吃！台灣最難吃的伴手禮！【Joeman】,美食,635475,9,70608.33333333333,6336.066312997347,11.143875370826297,Viral,Lifestyle/Other,1,Viral,1.0
Joeman,40,2026-06-15,爽玩整天只要699？挑戰超低價老人團！《Joe是要跟團》ep2【Joeman】,旅遊,986970,5,197394.0,6336.066312997347,31.154030000456316,Viral,Travel/Experience,1,,
The DoDo Men,1,2025-10-25,荒島求生】Day2：嚴重缺水！只好爬上超高的椰子樹！,旅遊,1644272,238,6908.705882352941,7380.320382165605,0.9360983703427956,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,2,2025-10-28,【荒島求生】Day3：下海捕魚發現超多海鮮！終於吃到肉了！,旅遊,1603368,235,6822.842553191489,7380.320382165605,0.9244642779571941,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,3,2025-10-31,【荒島求生】Day4：探索無人島未知領域！找到新的食物！,旅遊,1320602,232,5692.25,7380.320382165605,0.7712741053566193,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,4,2025-11-03,【荒島求生】Day5：DIY武器跟佈置陷阱！成功捕捉到食物！？,旅遊,1230001,229,5371.183406113537,7380.320382165605,0.7277710354001559,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,5,2025-11-06,【荒島求生】Day6 ：親手成功做一艘船！？準備逃離無人島！,旅遊,1249631,226,5529.340707964602,7380.320382165605,0.7492006337998743,Normal,Travel/Experience,0,Low,0.0
The DoDo Men,6,2025-11-09,【荒島求生】Day7 ：逃離無人島！7天到底瘦幾公斤！？,旅遊,1056498,223,4737.659192825112,7380.320382165605,0.6419313725557998,Low,Travel/Experience,0,Low,0.0
The DoDo Men,7,2025-11-16,直擊團隊女員工新家！意外挖到超早期的歷史照！？,雜談,552157,216,2556.2824074074074,7380.320382165605,0.346364693541572,Low,Talk/Topic,0,Low,0.0
The DoDo Men,8,2025-11-19,跑了世界一圈找回真正重要的東西！終於去了我最想去的國家！,旅遊,876843,213,4116.633802816901,7380.320382165605,0.5577852436819225,Low,Travel/Experience,0,Low,0.0
The DoDo Men,9,2025-11-26,解鎖全世界最大的高級車展！直接體驗邊拍攝邊開車的全新科技！？,旅遊,444645,206,2158.470873786408,7380.320382165605,0.2924630316865795,Low,Travel/Experience,0,Normal,0.0
The DoDo Men,10,2025-12-03,養寵物0經驗第一次就照顧100隻動物！帶毛孩放風差點失控！？,雜談,1855425,199,9323.743718592965,7380.320382165605,1.263325063925897,Normal,Talk/Topic,0,Low,0.0
The DoDo Men,11,2025-12-07,公開 7 年前改變我們人生的那趟旅程！目前為止覺得最美的國家是這？,旅遊,836181,195,4288.107692307693,7380.320382165605,0.5810191794206954,Low,Travel/Experience,0,Normal,0.0
The DoDo Men,12,2025-12-17,終於跟Delaney在美國重聚！意外開箱小賈斯汀之前住的好萊塢豪宅！,旅遊,1471562,185,7954.389189189189,7380.320382165605,1.077783724458739,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,13,2025-12-24,超多台灣人搬來的美國宜居城市！被這裡的人潮嚇傻！,旅遊,1074606,178,6037.112359550561,7380.320382165605,0.8180013938336771,Normal,Travel/Experience,0,Low,0.0
The DoDo Men,14,2026-01-07,帶Enzo體驗最道地的行程！算命講的超準？！,旅遊,723944,164,4414.292682926829,7380.320382165605,0.598116674391789,Low,Travel/Experience,0,Normal,0.0
The DoDo Men,15,2026-01-14,破世界紀錄高溫的死亡谷！？高溫下在路邊煮午餐會成功嗎？,旅遊,1192390,157,7594.84076433121,7380.320382165605,1.029066540618479,Normal,Travel/Experience,0,Low,0.0
The DoDo Men,16,2026-01-21,葡萄牙行程讓IG粉絲操控！結果吃到外星人海鮮！？,旅遊,621161,150,4141.073333333334,7380.320382165605,0.561096689425591,Low,Travel/Experience,0,Low,0.0
The DoDo Men,17,2026-01-28,2025 尾牙獎金大決鬥！20萬超級大獎一人獨得！？,旅遊,641077,143,4483.055944055944,7380.320382165605,0.607433784973503,Low,Travel/Experience,0,Low,0.0
The DoDo Men,18,2026-02-04,Eric在美國華府被誤為間諜！？裴洛希親自參與臺灣國慶活動！,旅遊,566673,136,4166.713235294118,7380.320382165605,0.5645707800657132,Low,Travel/Experience,0,Normal,0.0
The DoDo Men,19,2026-02-08,跟倉儲職業級高手的開箱合作！從天堂到地獄的超猛倉儲競標！,雜談,1116886,132,8461.257575757576,7380.320382165605,1.1464620961718726,Normal,Talk/Topic,0,Low,0.0
The DoDo Men,20,2026-02-11,到瑞士跟世界冠軍學滑浪風帆！開箱超美的瑞士小鎮！,旅遊,366492,129,2841.0232558139537,7380.320382165605,0.38494578943743807,Low,Travel/Experience,0,Normal,0.0
The DoDo Men,21,2026-02-25,偷偷把Ian送到日本自己過生日！？心有靈犀到嚇人的一趟驚喜旅程！,旅遊,1179874,115,10259.773913043478,7380.320382165605,1.3901529177291563,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,22,2026-03-04,沙漠黃金城一夕變空城！百年廢墟現場太震撼...,旅遊,650718,108,6025.166666666667,7380.320382165605,0.8163828065277979,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,23,2026-03-11,全美最宜居的城市生活有多爽！房價貴到離譜還是一堆人搶著住！？,旅遊,800004,101,7920.831683168317,7380.320382165605,1.0732368343126195,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,24,2026-03-18,深入亞馬遜森林野外過夜！被不明生物咬到全身大過敏,旅遊,1132861,94,12051.712765957447,7380.320382165605,1.632952519931271,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,25,2026-03-22,80年從戰後重生的日本廣島！超美的日本三大景在這邊！,旅遊,692066,90,7689.622222222222,7380.320382165605,1.0419089990732704,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,26,2026-03-25,開箱冷門巴西城市生活！飛20小時過去邀請當地人來台灣！,旅遊,1032678,87,11869.862068965518,7380.320382165605,1.6083125737534105,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,27,2026-04-01,【荒島求生2】正式登場！這次我們能存活多久！？【愚人節特企】,旅遊,549142,80,6864.275,7380.320382165605,0.9300781869290364,Normal,Travel/Experience,0,Normal,0.0
The DoDo Men,28,2026-04-08,闖進大力士比賽扛270公斤拱門！？重訓不到半年真的做得到嗎？,運動,889044,73,12178.684931506848,7380.320382165605,1.6501566735417603,Normal,Lifestyle/Other,0,Normal,0.0
The DoDo Men,29,2026-04-15,隨機抽一種食物吃100小時！體脂還可以掉2%？！,健康,444918,66,6741.181818181818,7380.320382165605,0.9133996180534042,Normal,Lifestyle/Other,0,Hit,1.0
The DoDo Men,30,2026-04-22,到台灣高中第一志願教課！發現建中學生根本不唸書！？,教育,876865,59,14862.118644067798,7380.320382165605,2.0137497932991915,Hit,Lifestyle/Other,1,Hit,1.0
The DoDo Men,31,2026-04-29,巴西必做的人生清單！6500萬人一起嗨到凌晨五點！,旅遊,902845,52,17362.403846153848,7380.320382165605,2.3525271190272097,Hit,Travel/Experience,1,Normal,0.0
The DoDo Men,32,2026-05-06,一日職業男排的地獄特訓！打到雙手瘀青！,運動,322461,45,7165.8,7380.320382165605,0.970933459381521,Normal,Lifestyle/Other,0,Hit,1.0
The DoDo Men,33,2026-05-13,員工設計超狂宜蘭私藏行程！贏家直接拿走萬元獎金！？,旅遊,700155,38,18425.13157894737,7380.320382165605,2.496521915697769,Hit,Travel/Experience,1,Normal,0.0
The DoDo Men,34,2026-05-20,Just DoDo It】Official Music Video,音樂,327643,31,10569.129032258064,7380.320382165605,1.4320691358871291,Normal,Lifestyle/Other,0,Normal,0.0
